2.355484254319570869e+00 5.298791765452536495e+00 7.864031349901136281e+00
1.340586869696146266e+00 6.804306326488928747e+00 7.524279871278948484e+00
6.489929482987959464e-01 1.819788030179163574e+00 6.643359744305256109e-01
2.445014849826975922e+00 6.686852978025157768e+00 5.191898166556822680e+00
1.234501583462972674e+00 3.081439452098664322e+00 3.153728629856649590e+00
3.151688122144573612e+00 5.795128984142177586e+00 4.504245714523410271e+00
2.946553868284699007e+00 5.522292177593356222e+00 4.638751191643399885e+00
9.964609133573246735e-01 7.601927411470228435e-01 9.445906412512723449e-01
5.082874179811256443e-01 4.925210785522080581e-01 1.357022630336554680e+00
9.692898302054493431e-01 3.089115281861379625e+00 3.246272573990379051e+00
3.464719939524076864e+00 6.749795249601205249e+00 5.075247019948506910e+00
2.037850040115222860e+00 1.240405451886974708e+00 1.138509147124246779e+00
4.882005518055083648e-01 1.463801272019708222e+00 1.370247057798530843e+00
6.975553445744860914e-01 8.686221993655907081e-01 5.721652862615742574e-01
1.573800757832357178e+00 2.443775331919792571e+00 3.123981480318766657e+00
3.936898525461016707e+00 6.152530568502228903e+00 4.168255614817767629e+00
8.706563105048052975e-01 3.477367576152604389e+00 2.837839678543107258e+00
2.072480189137809514e+00 7.862081236137006268e-01 4.961294128920844537e-01
2.336044346452540665e+00 5.432797164132513679e+00 8.517284912616894132e+00
9.305260936122200510e-01 1.079981265238479704e+00 1.163667151330290972e+00
1.622319374872669417e+00 6.328280266560605938e+00 7.699163979640810673e+00
8.163701026138088235e-01 1.098192322518017017e+00 1.002678125037612888e+00
8.281570699920491885e-01 3.240830537506933506e+00 2.641832495608714915e+00
2.466393515612856024e+00 5.191487209446116857e+00 8.029823597701200910e+00
5.326671208658030343e-01 8.843050790392453786e-01 1.286958528384873457e+00
2.100041766798487419e+00 6.439362359801842572e+00 4.886280351311232728e+00
1.823520125192902963e+00 7.213343201831434293e+00 7.325537794635436306e+00
1.142303969957140897e+00 3.041421496965187377e+00 3.148829609897095594e+00
9.273641992694237057e-01 3.016715470715258807e+00 2.409177192217197838e+00
1.151062060807404031e+00 2.023008007237407035e+00 1.759455985612286444e+00
3.152459796587828489e+00 6.012637032033218532e+00 5.577380403534368369e+00
2.326736597850746158e+00 5.359101246328476620e+00 4.390588124684286164e+00
1.466060262441991169e+00 3.516578860914119531e+00 3.041529265774271185e+00
